keys,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
"(1, 0, 3, np.int64(19))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(65)), (np.int64(20), np.int64(80))]"
"(1, 0, 3, np.int64(20))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 0, 3, np.int64(21))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 0, 3, np.int64(22))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 0, 3, np.int64(23))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 0, 3, np.int64(24))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 0, 3, np.int64(25))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 0, 3, np.int64(26))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 0, 3, np.int64(27))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 0, 3, np.int64(28))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 0, 3, np.int64(29))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 0, 3, np.int64(30))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(65)), (np.int64(20), np.int64(80))]"
"(1, 0, 3, np.int64(31))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(65)), (np.int64(20), np.int64(80))]"
"(1, 0, 3, np.int64(32))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 0, 3, np.int64(33))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 0, 3, np.int64(34))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 0, 3, np.int64(35))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(0))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(1))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(2))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(3))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(4))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(65)), (np.int64(20), np.int64(80))]"
"(1, 1, 0, np.int64(5))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(65)), (np.int64(20), np.int64(80))]"
"(1, 1, 0, np.int64(6))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(65)), (np.int64(20), np.int64(80))]"
"(1, 1, 0, np.int64(7))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(65)), (np.int64(20), np.int64(80))]"
"(1, 1, 0, np.int64(8))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(9))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(10))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(11))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(12))","[(-1, -1)]","[(-2, -2), (np.int64(10), np.int64(5))]","[(-2, -2), (np.int64(10), np.int64(20))]","[(-2, -2), (np.int64(10), np.int64(35))]","[(-2, -2), (np.int64(10), np.int64(50))]","[(-2, -2), (np.int64(10), np.int64(65))]","[(-2, -2), (np.int64(10), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(13))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(14))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(15))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(16))","[(-1, -1)]","[(0, 0)]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(17))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(18))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(19))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(20))","[(-1, -1)]","[(-2, -2), (np.int64(20), np.int64(5))]","[(-2, -2), (np.int64(20), np.int64(20))]","[(-2, -2), (np.int64(20), np.int64(35))]","[(-2, -2), (np.int64(20), np.int64(50))]","[(-2, -2), (np.int64(20), np.int64(65))]","[(-2, -2), (np.int64(20), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(21))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(22))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(23))","[(-1, -1)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(24))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(25))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(26))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(27))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]",,,,,,,,,,,,,,,,,,,,,
"(1, 1, 0, np.int64(28))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(65)), (np.int64(20), np.int64(80))]"
"(1, 1, 0, np.int64(29))","[(-1, -1)]","[(0, 0)]","[(0, 0), (np.int64(10), np.int64(5))]","[(0, 0), (np.int64(10), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(80))]","[(0, 0), (np.int64(20), np.int64(5))]","[(0, 0), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(20))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(5)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(35))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(20)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(50))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(35)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(65))]","[(0, 0), (np.int64(10), np.int64(50)), (np.int64(20), np.int64(80))]","[(0, 0), (np.int64(10), np.int64(65)), (np.int64(20), np.int64(80))]"
